cadireta
cadcont,cadpai,cadfilho,cadstatus,cadsuscad,cadpainome,cadfilnome,cadpaium,cadfilum,caduso,cadcomp,cadlarg,cadesp,cadpeso,cadfase,cadgrav,cadhora,cadimpdt,cadimphr,cadusuimp,cadlocal,cadgrpai,cadsgpai,cadsgrfil,cadsgfil,cadoriemb,cadproj,cadarquivo,cadcobr,cadlabr,cadesbr,cadclass,cadplcor,cadusamed,cadborint,cadbordsup,cadbordinf,cadboresq,cadbordir,cadpaiarea,cadtpfil,cadpembpr,cadpembpp,cadindter,caddimper,cadapp,cadmatricula
4,"P""_""3","F""_""23",N,IMP3CAD,PAINEL 3F1B LAP,PAINEL 3F1B LAP,UN,UN,1.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:10,1774234800000,,,,400,1,400,2,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
1,5.8.1124,"P""_""4",N,IMP3CAD,ARMARIO 18MM BRANCO TX COZINHA      {RT16},PAINEL 3F1B LAP,UN,UN,1.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:10,1774234800000,,,,500,8,400,1,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
5,"P""_""4","F""_""24",N,IMP3CAD,PAINEL 3F1B LAP,PAINEL 3F1B LAP,UN,UN,1.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:10,1774234800000,,,,400,1,400,2,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
1,5.8.1124,"P""_""5",N,IMP3CAD,ARMARIO 18MM BRANCO TX COZINHA      {RT16},Bancada Base,UN,UN,1.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:10,1774234800000,,,,500,8,400,1,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
6,"P""_""5","F""_""25",N,IMP3CAD,Bancada Base,CAVILHA PINUS 8X30MM                              ,UN,UN,40.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:10,1774234800000,,,,400,1,100,4,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
6,"P""_""5","F""_""26",N,IMP3CAD,Bancada Base,TAMBOR MINIFIX 15MM                               ,UN,UN,44.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:10,1774234800000,,,,400,1,100,4,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
6,"P""_""5","F""_""27",N,IMP3CAD,Bancada Base,PARAFUSO MINIFIX 6.3MM ZAMAC                      ,UN,UN,44.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:10,1774234800000,,,,400,1,100,4,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
6,"P""_""5","F""_""28",N,IMP3CAD,Bancada Base,BASE INF,UN,UN,1.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:11,1774234800000,,,,400,1,400,2,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
6,"P""_""5","F""_""29",N,IMP3CAD,Bancada Base,BAS INTERMEDIARIA,UN,UN,1.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:11,1774234800000,,,,400,1,400,2,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
6,"P""_""5","F""_""30",N,IMP3CAD,Bancada Base,BAS INTERMEDIARIA,UN,UN,1.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:11,1774234800000,,,,400,1,400,2,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
6,"P""_""5","F""_""31",N,IMP3CAD,Bancada Base,BAS INTERMEDIARIA,UN,UN,1.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:11,1774234800000,,,,400,1,400,2,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
6,"P""_""5","F""_""32",N,IMP3CAD,Bancada Base,BAS INTERMEDIARIA,UN,UN,1.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:11,1774234800000,,,,400,1,400,2,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
